ID	Observers	tag	lg	lf	tp	IDI
750	C.D	1186	41.9	11	1	206
751	C.D	1185	31.1	4	2	205
752	C.D	1185	36.6	8	2	204
753	C.D	1184	43.2	9	1	203
755	C.D	1182	42.2	7	1	201
756	C.D	1181	33.5	9	1	200
757	C.D	1180	46.1	6	1	199
758	C.D	1207	41.3	5	1	231
759	C.D	1206	57.5	9	1	230
760	C.D	1205	46.7	4	2	229
761	C.D	1205	56.9	4	2	228
762	C.D	1204	58.9	8	1	227
763	C.D	1203	34.1	4	2	225
764	C.D	1203	43.4	3	2	226
765	C.D	1202	47.5	9	1	224
766	C.D	1201	45.2	9	1	223
767	C.D	1351	36.9	5	1	400
768	C.D	1350	39.6	8	1	399
769	C.D	1352	50.4	4	1	401
770	C.D	1353	38.5	8	1	402
771	C.D	1355	44.4	6	1	404
772	C.D	1354	36.6	10	1	403
773	C.D	1356	41.7	6	1	405
774	C.D	1348	37.1	7	1	397
775	C.D	1347	40.7	7	1	396
776	C.D	1349	37.7	6	1	398
777	C.D	1357	33.4	10	1	406
778	C.D	1364	37	10	1	413
779	C.D	1358	36.1	6	1	407
780	C.D	1346	43	5	2	394
781	C.D	1346	44.8	3	2	395
782	C.D	1398	31.5	6	2	452
783	C.D	1398	4	2	2	451
784	C.D	1401	34.5	6	1	455
785	C.D	1394	43.8	5	1	447
786	C.D	1391	38.2	6	1	444
787	C.D	1389	30.1	7	1	442
788	C.D	1395	26.7	8	1	448
789	C.D	1397	37.2	8	1	450
790	C.D	1396	50.6	8	1	449
791	C.D	1387	36.1	11	2	439
792	C.D	1387	23.9	4	2	440
793	C.D	1406	9.8	2	2	461
794	C.D	1406	27.3	6	2	462
795	C.D	1403	33.7	4	2	458
796	C.D	1403	32.2	6	2	457
797	C.D	1388	45.3	5	1	441
798	C.D	1390	29.1	9	1	443
799	C.D	1393	43	9	1	446
800	D.J.D	1103	32.9	9	1	114
801	D.J.D	1038	59.5	10	1	40
802	D.J.D	1104	39.3	3	1	115
803	D.J.D	1105	48.2	9	1	116
804	D.J.D	1037	38.9	6	1	39
805	D.J.D	1036	44.6	4	1	38
806	D.J.D	1053	52.8	6	1	56
807	D.J.D	1106	50.7	7	1	117
808	D.J.D	1107	39.6	4	1	118
809	D.J.D	1108	40.4	7	1	119
810	D.J.D	1110	39.5	7	1	121
811	D.J.D	1035	44.6	9	1	37
812	D.J.D	1034	35.5	6	1	36
813	D.J.D	1033	34.8	10	1	35
814	D.J.D	1032	46.1	5	1	34
815	D.J.D	1059	58.6	4	1	62
816	D.J.D	1060	47	8	1	63
817	D.J.D	1056	50.7	5	1	59
818	D.J.D	1057	46.4	6	1	60
819	D.J.D	1061	36.3	11	1	64
820	D.J.D	1055	40.7	10	1	58
821	D.J.D	1058	38.1	7	1	61
822	D.J.D	1054	42.1	9	1	57
823	D.J.D	1062	53.4	5	1	65
824	D.J.D	1063	41.1	8	1	66
825	D.J.D	1066	51.4	5	1	69
826	D.J.D	1065	40.8	8	1	68
827	D.J.D	1064	35.6	6	1	67
828	D.J.D	1276	38.3	8	2	309
829	D.J.D	1276	27.5	7	2	308
830	D.J.D	1277	37.8	9	1	310
831	D.J.D	1264	15.5	4	1	294
833	D.J.D	1318	36.4	7	1	358
834	D.J.D	1317	46.5	7	1	357
835	D.J.D	1304	35.5	11	1	342
836	D.J.D	1316	32.6	6	1	356
837	D.J.D	1306	36.4	8	2	344
838	D.J.D	1306	29	4	2	345
839	D.J.D	1307	44	6	1	346
840	D.J.D	1308	42.5	7	1	347
841	D.J.D	1252	53.7	6	1	280
842	D.J.D	1251	49.2	7	1	279
843	D.J.D	1250	64.4	6	1	278
844	D.J.D	1267	61.9	6	1	297
845	D.J.D	1266	57.4	3	1	296
846	D.J.D	1265	65.5	7	1	295
847	D.J.D	1303	38.1	5	1	341
848	D.J.D	1152	48	7	1	165
849	D.J.D	1153	29.6	3	2	167
850	D.J.D	1153	46	7	2	166
851	D.J.D	1154	13.3	1	1	168
852	D.J.D	1155	49.4	6	1	169
853	D.J.D	1141	32.7	8	1	154
854	D.J.D	1142	41	13	1	155
855	D.J.D	1156	38.1	9	1	170
856	D.J.D	1143	46.5	7	1	156
857	D.J.D	1144	41.7	8	1	157
858	D.J.D	1157	42.8	9	2	171
859	D.J.D	1157	18.7	2	2	172
860	D.J.D	1145	46.4	5	1	158
861	D.J.D	1463	34.5	6	1	527
862	D.J.D	1461	28.5	7	1	525
863	D.J.D	1456	29.1	9	1	519
866	D.J.D	1459	17.8	3	1	522
867	D.J.D	1458	39.5	4	1	521
868	D.J.D	1457	35.9	7	1	520
869	D.J.D	1455	39.9	7	1	518
870	D.J.D	1444	24.8	6	1	507
871	D.J.D	1454	40.9	6	1	517
872	D.J.D	1443	44	4	2	506
873	D.J.D	1453	28	3	1	516
874	D.J.D	1443	13.5	1	2	505
875	D.J.D	1096	29.4	5	1	107
876	D.J.D	1452	32	9	1	515
877	D.J.D	1477	53.3	7	1	542
878	D.J.D	1476	39.6	7	1	541
879	D.J.D	1473	31.8	6	1	538
880	D.J.D	1469	47.6	6	1	534
881	D.J.D	1475	47.3	5	1	540
882	D.J.D	1470	33.2	8	1	535
883	D.J.D	1468	29.8	14	1	533
884	D.J.D	1467	44.9	5	1	532
885	D.J.D	1472	41.6	7	1	537
886	D.J.D	1466	40.3	7	1	531
887	D.J.D	1465	39	11	1	530
888	D.J.D	1474	40.3	5	1	539
889	D.J.D	1464	35.2	4	2	529
890	D.J.D	1464	56.1	4	2	528
891	D.J.D	1512	18.5	2	2	581
892	D.J.D	1512	29.4	8	2	582
893	D.J.D	1588	23.2	1	2	665
894	D.J.D	1588	21.6	3	2	664
895	D.J.D	1586	31.7	6	1	661
896	D.J.D	1587	7.9	1	2	663
897	D.J.D	1587	36.2	5	2	662
898	D.J.D	1582	22.7	4	2	656
899	D.J.D	1582	26	6	2	657
900	D.J.D	1605	29.6	8	1	683
901	D.J.D	1604	32.5	5	2	681
902	D.J.D	1604	37.4	3	2	682
903	D.J.D	1603	32.7	8	1	680
904	D.J.D	1531	47.7	7	1	601
905	D.J.D	1532	45.8	7	1	602
906	D.J.D	1533	33.2	5	1	603
907	D.J.D	1537	44.3	7	1	607
908	D.J.D	1525	31.9	10	1	595
909	D.J.D	1589	52.4	6	1	666
910	D.J.D	1600	36.9	4	1	677
911	D.J.D	1516	39	6	1	586
912	D.J.D	1515	33.2	7	1	585
913	D.J.D	1517	38	8	1	587
915	D.J.D	1518	22	6	1	588
916	D.J.D	1519	40.4	6	1	589
917	D.J.D	1520	41.1	5	1	590
918	D.J.D	1521	33.3	5	1	591
919	D.J.D	1522	37	5	1	592
920	D.J.D	1524	47.2	5	1	594
921	D.J.D	1494	43.1	8	1	559
922	D.J.D	1414	37	5	1	471
923	D.J.D	1527	36.8	9	1	597
924	D.J.D	1529	41.3	7	1	599
926	D.J.D	1528	27.5	4	2	598
927	D.J.D	1419	34.9	3	1	477
928	D.J.D	1530	39.2	6	1	600
929	D.J.D	1498	30.6	3	2	563
930	D.J.D	1498	35	7	2	564
931	D.J.D	1413	48.4	6	1	470
932	D.J.D	1418	42.3	7	1	476
933	D.J.D	1411	46.3	5	1	468
934	D.J.D	1408	32.4	11	1	465
935	D.J.D	1409	43.3	4	1	466
936	D.J.D	1407	26.5	5	2	464
937	D.J.D	1407	19.4	7	2	463
938	D.J.D	1499	30	8	1	565
939	D.J.D	1392	35.1	5	1	445
940	D.J.D	1405	56.3	7	1	460
941	D.J.D	1385	45	6	1	437
942	D.J.D	1404	45.4	4	1	459
943	D.J.D	1402	40.2	7	1	456
944	D.J.D	1386	31.4	8	1	438
945	D.J.D	1384	25.9	3	2	435
946	D.J.D	1384	39.6	3	2	436
947	D.J.D	1383	32.4	9	1	434
948	D.J.D	1378	33.9	6	1	429
949	D.J.D	1379	42.1	9	1	430
950	D.J.D	1377	29.3	11	1	428
951	D.J.D	1376	35.5	6	1	427
952	D.J.D	1374	39.3	7	1	425
953	D.J.D	1371	38.9	5	2	420
954	D.J.D	1371	37.6	3	2	421
955	D.J.D	1369	28	8	1	418
956	D.J.D	1381	48.5	5	1	432
957	D.J.D	1375	33.4	6	1	426
958	D.J.D	1372	41.8	8	2	422
959	D.J.D	1372	25.6	3	2	423
960	D.J.D	1359	28.4	6	1	408
961	D.J.D	1360	59.4	5	1	409
962	D.J.D	1361	54	3	1	410
963	D.J.D	1362	32	9	1	411
964	D.J.D	1363	43.5	5	1	412
965	D.J.D	1365	36.4	9	1	414
966	D.J.D	1367	39.7	5	1	416
967	D.J.D	1366	39.6	4	1	415
968	D.J.D	1113	45.3	7	1	125
969	D.J.D	1114	44	5	1	126
970	D.J.D	1127	40	6	1	139
971	D.J.D	1115	37	4	1	127
972	D.J.D	1128	49.5	6	1	140
973	D.J.D	1116	51.9	5	1	128
974	D.J.D	1304	35.5	8	1	342
975	D.J.D	1452	32.1	9	1	515
976	D.J.D	1096	29.4	5	1	107
977	D.J.D	1157	43.2	10	2	171
978	D.J.D	1157	18.9	3	2	172
979	D.J.D	1145	46.4	6	1	158
980	D.J.D	1144	41.9	8	1	157
981	D.J.D	1453	27.9	5	1	516
982	D.J.D	1143	46.7	7	1	156
983	D.J.D	1156	38.4	9	1	170
984	D.J.D	1142	40.3	15	1	155
985	D.J.D	1443	13.3	1	2	505
986	D.J.D	1443	44	4	2	506
987	D.J.D	1454	41	7	1	517
988	D.J.D	1444	24.2	6	1	507
989	D.J.D	1141	33	8	1	154
990	D.J.D	1455	40.1	8	1	518
991	D.J.D	1457	36.1	8	1	520
992	D.J.D	1155	49.9	6	1	169
993	D.J.D	1154	13.3	1	1	168
994	D.J.D	1458	39.6	5	1	521
995	D.J.D	1316	32.6	6	1	356
996	D.J.D	1153	46.3	8	2	166
997	D.J.D	1153	30	3	2	167
998	D.J.D	1459	17.5	3	1	522
999	D.J.D	1317	46.5	7	1	357
1000	D.J.D	1303	38.1	5	1	341
1001	D.J.D	1265	65.4	8	1	295
1002	D.J.D	1266	55.1	3	1	296
1003	D.J.D	1152	47.7	7	1	165
1004	D.J.D	1460	30.6	4	1	524
1005	D.J.D	1460	25.1	7	1	523
1006	D.J.D	1456	29.3	8	1	519
1008	D.J.D	1318	31.3	4	1	359
1009	D.J.D	1264	15.6	4	1	294
1010	D.J.D	1461	28	7	1	525
1011	D.J.D	1463	34.5	8	1	527
1012	D.J.D	1277	37.7	9	1	311
1013	D.J.D	1276	27.3	7	2	308
1014	D.J.D	1276	38.4	8	2	309
1015	M.H	1100	41.8	1	1	111
1016	M.H	1001	25.1	3	2	2
1017	M.H	1001	29.4	6	2	1
1018	M.H	1002	33.2	5	1	3
1019	M.H	1003	37.2	7	1	4
1020	M.H	1004	33.5	5	1	5
1021	M.H	1005	43.6	6	1	6
1022	M.H	1006	34.2	8	1	7
1023	M.H	1007	33.1	6	1	8
1024	M.H	1008	33.6	8	1	9
1025	M.H	1095	16.2	4	1	106
1026	M.H	1009	42.9	10	1	10
1027	M.H	1010	42.2	7	1	11
1028	M.H	1011	46.7	7	1	12
1029	M.H	1012	41.9	6	1	13
1030	M.H	1014	46.3	5	1	15
1031	M.H	1015	31.3	6	1	16
1032	M.H	1016	41.7	10	1	17
1033	M.H	1017	46.1	7	1	18
1034	M.H	1018	36.6	7	1	19
1035	M.H	1019	42.6	6	1	20
1036	M.H	1020	48.1	6	1	21
1037	M.H	1098	38	10	1	109
1038	M.H	1097	46.7	8	1	108
1039	M.H	1151	42.4	5	1	164
1040	M.H	1013	43	8	1	14
1041	M.H	1092	42.2	6	1	102
1042	M.H	1093	31.5	13	1	103
1043	M.H	1094	51.5	7	2	105
1044	M.H	1094	29.7	9	2	104
1045	M.H	1090	36.6	8	1	100
1046	M.H	1091	40.8	9	1	101
1047	M.H	1089	31.6	5	2	98
1048	M.H	1089	37	3	2	99
1049	M.H	1088	36	7	1	97
1050	M.H	1087	44.1	9	1	96
1051	M.H	1099	29.2	12	1	110
1052	M.H	1086	36.3	6	2	95
1053	M.H	1086	34	6	2	94
1054	M.H	1085	40.2	8	1	93
1055	M.H	1084	54.5	5	1	92
1056	M.H	1083	31.5	16	1	91
1057	M.H	1082	36.6	3	2	89
1058	M.H	1082	51.7	5	2	90
1059	M.H	1081	47.4	5	1	88
1060	M.H	1080	36.9	12	2	87
1061	M.H	1079	50.4	6	1	85
1062	M.H	1078	41.8	5	1	84
1063	M.H	1077	47.4	5	1	83
1064	M.H	1076	46.6	9	1	82
1065	M.H	1075	41.4	7	1	81
1066	M.H	1074	33.9	6	2	79
1067	M.H	1074	31.3	4	2	80
1068	M.H	1073	40	9	1	78
1069	M.H	1072	49.5	4	1	77
1070	M.H	1071	38	5	2	75
1071	M.H	1071	24.7	5	2	76
1072	M.H	1070	32.3	4	2	74
1073	M.H	1070	39.9	5	2	73
1074	M.H	1069	51.6	6	1	72
1075	M.H	1068	38.9	10	1	71
1076	M.H	1080	14.2	1	2	86
1077	M.H	1553	37	6	1	623
1078	M.H	1551	47.1	8	1	621
1079	M.H	1547	31.4	9	1	617
1080	M.H	1412	30.7	10	1	469
1081	M.H	1500	25	9	1	566
1082	M.H	1410	34	6	1	467
1083	M.H	1539	45.1	8	1	609
1084	M.H	1540	51.5	5	1	610
1085	M.H	1541	58.8	6	1	611
1086	M.H	1505	37.4	5	1	572
1087	M.H	1542	37	7	1	612
1088	M.H	1543	39.4	5	1	613
1089	M.H	1506	34.4	1	2	574
1090	M.H	1544	39.4	7	1	614
1091	M.H	1545	25.3	11	1	615
1092	M.H	1507	40.3	4	1	576
1093	M.H	1546	33.4	7	1	616
1094	M.H	1506	34.7	2	2	575
1095	M.H	1506	24.7	1	2	573
1096	M.H	1599	38.3	4	1	676
1097	M.H	1595	40.6	4	1	672
1098	M.H	1526	38.9	8	1	596
1099	M.H	1523	40.4	6	1	593
1100	M.H	1504	31.8	9	1	571
1101	M.H	1503	23.8	4	2	569
1102	M.H	1502	31.3	8	1	568
1103	M.H	1534	40.3	5	1	604
1104	M.H	1535	35.4	4	1	605
1105	M.H	1536	46.1	11	1	606
1106	M.H	1538	43.8	5	1	608
1107	M.H	1548	34.4	9	1	618
1108	M.H	1549	31.1	12	1	619
1109	M.H	1550	44.8	5	1	620
1110	M.H	1596	31.9	3	1	673
1111	M.H	1597	33.8	5	1	674
1112	M.H	1598	49.3	4	1	675
1113	M.H	1602	31.8	10	1	679
1114	M.H	1601	32.7	5	1	678
1115	M.H	1590	41.3	6	1	667
1116	M.H	1591	33	8	1	668
1117	M.H	1503	31.3	6	2	570
1118	M.H	1569	45	4	2	641
1119	M.H	1570	31.7	9	1	643
1120	M.H	1584	22.5	11	1	659
1121	M.H	1571	27.5	7	1	644
1122	M.H	1575	27.9	7	1	649
1123	M.H	1576	28.2	7	1	650
1124	M.H	1577	28.1	10	1	651
1125	M.H	1578	31.3	6	1	652
1126	M.H	1579	21.5	16	1	653
1127	M.H	1618	32	9	1	696
1128	M.H	1616	32.3	5	1	694
1129	M.H	1631	16.8	2	1	703
1130	M.H	1620	26	4	1	698
1131	M.H	1622	17	4	1	700
1132	M.H	1569	17.5	3	2	642
1133	M.H	1140	44.7	4	1	153
1134	M.H	1137	44.8	8	1	150
1135	M.H	1341	43.7	7	1	387
1136	M.H	1279	42.9	5	1	312
1137	M.H	1281	36.5	8	1	314
1138	M.H	1300	33.8	4	2	336
1139	M.H	1300	29.1	4	2	337
1140	M.H	1287	36.4	6	1	321
1141	M.H	1284	37.4	4	1	317
1142	M.H	1298	28.8	11	1	334
1143	M.H	1286	33.3	6	1	320
1144	M.H	1296	28.4	5	1	332
1145	M.H	1293	23.8	6	2	328
1146	M.H	1293	32.6	7	2	329
1147	M.H	1292	51.1	4	1	327
1148	M.H	1291	35.2	5	1	326
1149	M.H	1382	35.7	7	1	433
1150	M.H	1139	37.5	7	1	152
1151	M.H	1278	38.5	10	1	312
1152	M.H	1280	41.3	9	1	313
1153	M.H	1282	26.5	9	1	315
1154	M.H	1283	39	12	1	316
1155	M.H	1299	45.5	8	1	335
1156	M.H	1285	36.9	3	2	319
1157	M.H	1285	43.5	6	2	318
1158	M.H	1297	34.6	7	1	333
1159	M.H	1288	48.5	8	1	322
1160	M.H	1295	36.6	8	1	331
1161	M.H	1294	31.4	7	1	330
1162	M.H	1289	10	2	1	323
1163	M.H	1290	31.4	8	2	324
1164	M.H	1290	21	1	2	325
1165	M.H	1165	47.3	10	1	181
1166	M.H	1334	43.4	7	1	380
1167	M.H	1331	34	9	1	376
1168	M.H	1335	48.8	8	1	381
1169	M.H	1336	41.5	6	1	382
1170	M.H	1337	45.9	5	1	383
1171	M.H	1338	40.9	3	1	384
1172	M.H	1339	45.3	7	1	385
1173	M.H	1400	35.5	15	1	454
1174	M.H	1340	40.2	8	1	386
1175	M.H	1342	39.8	7	2	388
1176	M.H	1342	36.1	3	2	389
1177	M.H	1343	41.2	6	2	391
1178	M.H	1343	41.5	2	2	390
1179	M.H	1345	45.2	4	1	393
1180	M.H	1344	37.3	6	1	392
1181	M.H	1471	34.6	9	1	536
1182	M.H	1497	20.9	7	1	562
1183	M.H	1478	44.1	7	1	543
1184	M.H	1493	39	7	1	558
1185	M.H	1489	47.2	5	1	554
1186	M.H	1496	39	4	1	561
1187	M.H	1508	33.5	8	1	577
1188	M.H	1492	35.7	7	1	557
1189	M.H	1495	50	5	1	560
1190	M.H	1509	39.2	5	1	578
1191	M.H	1510	38.5	7	1	579
1192	M.H	1511	43.4	6	1	580
1193	M.H	1501	45.6	6	1	567
1194	M.H	1513	44.3	7	1	583
1195	M.H	1208	20.7	3	1	232
1196	M.H	1209	45.4	6	1	233
1197	M.H	1210	42	16	1	234
1198	M.H	1211	46.2	7	1	235
1199	M.H	1212	41.1	3	1	236
1200	M.H	1213	31.4	3	2	238
1201	M.H	1213	47	4	2	237
1202	M.H	1214	31.5	5	1	239
1203	M.H	1215	29	11	1	240
1204	M.H	1216	22	3	2	242
1205	M.H	1216	42.5	8	2	241
1206	M.H	1217	45	6	1	243
1207	M.H	1218	30	10	1	244
1208	M.H	1219	61.5	5	1	245
1209	M.H	1220	45.3	7	1	246
1210	M.H	1221	38.2	7	1	247
1211	M.H	1194	44.9	6	1	214
1212	M.H	1195	30	5	2	216
1213	M.H	1195	33	2	2	215
1214	M.H	1196	38.4	7	1	217
1215	M.H	1197	45.4	5	1	218
1216	M.H	1198	39.2	6	1	219
1217	M.H	1199	29	4	2	220
1218	M.H	1199	4.5	3	2	221
1219	M.H	1200	46.3	3	1	222
1220	M.T	1138	44.7	5	1	151
1221	M.T	1136	41.8	6	1	149
1222	M.T	1135	39.9	6	1	148
1223	M.T	1134	9	10	2	147
1224	M.T	1134	24.2	1	1	146
1225	M.T	1309	39.6	6	1	348
1226	M.T	1133	14.1	12	1	145
1227	M.T	1263	56.1	2	2	293
1228	M.T	1263	49	4	2	292
1229	M.T	1315	8.9	7	1	355
1230	M.T	1132	50.8	7	1	144
1231	M.T	1131	35.6	7	1	143
1232	M.T	1130	46.3	5	1	142
1233	M.T	1129	36.5	5	1	141
1234	M.T	1128	49.5	7	1	140
1235	M.T	1127	39.9	6	1	139
1236	M.T	1126	42.6	10	1	138
1237	M.T	1125	30.9	6	1	137
1238	M.T	1124	41.1	9	1	136
1239	M.T	1123	54	8	1	135
1240	M.T	1122	45.4	8	1	134
1241	M.T	1121	40.9	6	1	133
1242	M.T	1120	42.1	5	1	132
1243	M.T	1119	43.7	4	1	131
1244	M.T	1118	38.3	6	1	130
1245	M.T	1117	34.3	5	1	129
1246	M.T	1116	51.9	5	1	128
1247	M.T	1115	36.9	4	1	127
1248	M.T	1114	44.2	5	1	126
1249	M.T	1113	45.2	8	1	125
1250	M.T	1112	59.6	4	1	124
1251	M.T	1111	55.1	4	2	123
1252	M.T	1111	19.3	1	2	122
1253	M.T	1109	43.5	4	1	120
1254	M.T	1359	28.5	7	1	408
1255	M.T	1360	59.3	6	1	409
1256	M.T	1361	54.5	3	1	410
1257	M.T	1362	31.5	9	1	411
1258	M.T	1363	42	5	1	412
1259	M.T	1365	36.5	9	1	414
1260	M.T	1367	39.8	6	1	416
1261	M.T	1366	39.7	5	1	415
1262	M.T	1368	40.3	5	1	417
1263	M.T	1370	43.9	4	1	419
1264	M.T	1373	21.2	1	1	424
1265	M.T	1372	25.6	3	2	423
1266	M.T	1372	41.7	8	2	422
1267	M.T	1375	33.8	7	1	426
1268	M.T	1381	48.5	5	1	432
1269	M.T	1369	28.2	8	1	418
1270	M.T	1371	37.8	4	2	421
1271	M.T	1371	38.9	4	2	420
1272	M.T	1374	39.2	7	1	425
1273	M.T	1376	35.3	6	1	427
1274	M.T	1377	29.1	10	1	428
1275	M.T	1379	42.1	10	1	430
1276	M.T	1378	34.3	5	1	429
1277	M.T	1383	32.6	9	1	434
1278	M.T	1384	26	2	2	435
1279	M.T	1384	39.7	3	2	436
1280	M.T	1386	31.5	9	1	438
1281	M.T	1402	40	7	1	456
1282	M.T	1404	45.3	4	1	459
1283	M.T	1385	45	5	1	437
1284	M.T	1405	56.1	7	1	460
1285	M.T	1392	35	5	1	445
1286	M.T	1499	30.2	8	1	565
1287	M.T	1407	27	5	2	464
1288	M.T	1407	20	7	2	463
1289	M.T	1409	43.2	5	1	466
1290	M.T	1408	32.5	9	1	465
1291	M.T	1411	46.3	6	1	468
1292	M.T	1418	42.1	9	1	476
1293	M.T	1413	48.1	7	1	470
1294	M.T	1498	35	6	2	564
1295	M.T	1498	30.8	3	2	563
1296	M.T	1419	34.9	3	1	477
1297	M.T	1414	37.2	4	1	471
1298	M.T	1516	39	6	1	586
1299	M.T	1515	28.5	7	1	585
1300	M.T	1517	37.8	10	1	587
1301	M.T	1518	22.2	9	1	588
1302	M.T	1519	46.3	6	1	589
1303	M.T	1520	41	5	1	590
1304	M.T	1521	33.8	5	1	591
1305	M.T	1522	37.5	5	1	592
1306	M.T	1524	47.3	5	1	594
1307	M.T	1494	43	8	1	559
1308	M.T	1527	37.7	9	1	597
1309	M.T	1529	41.5	7	1	599
1310	M.T	1528	27.6	6	1	598
1311	M.T	1530	39.8	8	1	600
1312	M.T	1531	47.6	6	1	601
1313	M.T	1533	33.2	6	1	603
1314	M.T	1532	46.4	7	1	602
1315	M.T	1537	44.1	8	1	607
1316	M.T	1525	31.4	10	1	595
1317	M.T	1589	52.5	6	1	666
1318	M.T	1600	36.7	4	1	677
1319	M.T	1103	32.9	10	1	114
1320	M.T	1605	29.1	9	1	683
1321	M.T	1105	48.1	6	1	116
1322	M.T	1106	54.1	7	1	117
1323	M.T	1582	22.5	5	2	656
1324	M.T	1582	25.9	7	2	657
1325	M.T	1587	7.6	1	2	663
1326	M.T	1587	36.1	4	2	662
1327	M.T	1108	40.3	7	1	119
1328	M.T	1104	39.3	3	1	115
1329	M.T	1036	44.5	4	1	38
1330	M.T	1035	44.4	10	1	37
1331	M.T	1586	31.5	6	1	661
1332	M.T	1059	58.5	4	1	62
1333	M.T	1588	21.8	5	2	664
1334	M.T	1588	23.1	1	2	665
1335	M.T	1037	38.7	5	1	39
1336	M.T	1107	39.4	5	1	118
1337	M.T	1060	47.1	11	1	63
1338	M.T	1110	39.4	6	1	121
1339	M.T	1604	37.5	3	2	682
1340	M.T	1604	32.5	6	2	681
1341	M.T	1056	50.4	5	1	59
1342	M.T	1603	32.5	7	1	680
1343	M.T	1032	46.3	5	1	34
1344	M.T	1057	46	7	1	60
1345	M.T	1033	35.2	9	1	35
1346	M.T	1053	52.7	7	1	56
1347	M.T	1477	52.3	7	1	542
1348	M.T	1034	35.6	6	1	36
1349	M.T	1476	39.3	7	1	541
1350	M.T	1473	31.7	8	1	538
1351	M.T	1469	47.5	6	1	534
1352	M.T	1475	47.5	7	1	540
1353	M.T	1061	36.2	10	1	64
1354	M.T	1038	59.2	8	1	40
1355	M.T	1055	40.6	8	1	58
1356	M.T	1470	33	10	1	535
1357	M.T	1468	29.5	14	1	533
1358	M.T	1058	38.1	5	1	61
1359	M.T	1054	42	9	1	57
1360	M.T	1062	53.5	5	1	65
1361	M.T	1063	40.7	7	1	66
1362	M.T	1467	44.7	6	1	532
1363	M.T	1066	51.4	5	1	69
1364	M.T	1065	40.9	9	1	68
1365	M.T	1064	35.5	5	1	67
1366	M.T	1512	25.2	8	2	582
1367	M.T	1512	29.4	2	2	581
1368	M.T	1472	41.6	5	1	537
1369	M.T	1466	40.1	7	1	531
1370	M.T	1474	40.6	5	1	539
1371	M.T	1465	38.9	8	1	530
1372	M.T	1464	55.5	5	2	528
1373	M.T	1464	35	4	2	529
1374	M.T	1267	62	5	1	297
1375	M.T	1250	64.2	5	1	278
1376	M.T	1251	49.3	7	1	279
1377	M.T	1252	53.4	8	1	280
1378	M.T	1308	42.8	6	1	347
1379	M.T	1307	43.9	6	1	346
1380	M.T	1306	29.1	4	2	345
1381	M.T	1306	36.3	6	2	344
1382	M.T	1606	41.3	4	1	684
1383	M.T	1700	35.1	7	1	704
1384	M.T	1607	32.8	5	1	685
1385	M.T	1612	29.6	6	1	690
1386	M.T	1609	38.8	4	1	687
1387	M.T	1617	25	8	1	695
1388	M.T	1608	31.3	6	1	686
1389	M.T	1426	30.4	14	1	487
1390	M.T	1417	20.6	9	1	475
1391	M.T	1380	38.6	4	1	431
1392	M.T	1150	50.6	5	1	163
1393	M.T	1147	51.5	5	1	160
1394	M.T	1428	39	8	1	489
1395	M.T	1146	36.4	10	1	159
1396	M.T	1312	44.7	4	2	351
1397	M.T	1312	24	1	2	352
1398	M.T	1310	33.8	8	1	349
1399	M.T	1301	58.7	3	1	338
1400	M.T	1326	32.1	9	1	370
1401	M.T	1259	48	9	1	288
1402	M.T	1262	40.9	6	1	291
1403	M.T	1260	47.6	12	1	289
1404	M.T	1311	45.4	8	1	350
1405	M.T	1258	49.3	7	1	287
1406	M.T	1261	43.6	8	1	290
1407	M.T	1305	23.7	4	1	343
1408	M.T	1399	27.3	9	1	453
1409	M.T	1253	51.5	7	1	281
1410	M.T	1256	54.9	1	2	284
1411	M.T	1256	65.2	4	2	285
